iso_codes,n_feat,cwals_old,cwals_new,id,genus,name
ben,5,0.5,0.4666666666666667,ben,Indic,Bengali
bev,1,0,0,bet,Kru,Bété
bex,9,0.11111111111111109,0.11111111111111109,jmo,Bongo-Bagirmi,Jur Mödö
bfa,7,0.4930555555555555,0.3888888888888889,bar,Nilotic,Bari
bft,6,0.6666666666666666,0.6666666666666666,blt,Bodic,Balti
bfw,11,0.696969696969697,0.6818181818181819,rem,Munda,Remo
bgp,3,0.5833333333333334,0.5555555555555556,blc,Iranian,Baluchi
bgr,20,0.23083333333333333,0.2014285714285714,baw,Kuki-Chin,Bawm
bhg,7,0.5714285714285714,0.5714285714285714,bin,Binanderean,Binandere
bho,6,0.6666666666666666,0.6666666666666666,bho,Indic,Bhojpuri
bhq,26,0.4094780219780219,0.36538461538461536,NA,NA,NA
bhw,10,0.4,0.4,bik,South Halmahera - West New Guinea,Biak
bia,3,0.6666666666666666,0.6666666666666666,bdm,Western Pama-Nyungan,Badimaya
bib,1,1,1,bis,Eastern Mande,Bisa
bid,2,1,1,bid,East Chadic,Bidiya
bim,6,0.33333333333333337,0.33333333333333337,bmb,Northern-Central Gur,Bimoba
bin,3,0,0,bni,Edoid,Bini
bio,6,0.8333333333333334,0.8333333333333334,bio,Kwomtari,Nai
bip,3,1,1,bia,Bantoid,Bila
bis,1,1,1,bsm,Creoles and Pidgins,Bislama
bjt,3,0.6666666666666666,0.6666666666666666,NA,NA,NA
bjy,2,1,1,dhb,Northern Pama-Nyungan,Dharumbal
bkc,5,0.5333333333333333,0.52,bak,Ubangi,Baka (in Cameroon)
bkk,2,0.5833333333333333,0.4666666666666667,bkt,Indic,Brokskat
bkl,1,0.25,0,brk,Tor,Berik
bla,11,0.9090909090909091,0.9090909090909091,bla,Algonquian,Blackfoot
blb,8,0.5,0.5,bil,Bilua,Bilua
blc,10,0.7,0.7,bco,Bella Coola,Bella Coola
ble,3,0.6666666666666666,0.6666666666666666,NA,NA,NA
bli,2,1,1,bol,Bantoid,Bolia
bll,10,0.6,0.6,blx,Core Siouan,Biloxi
blw,2,1,1,blg,Northern Luzon,Balangao
bmi,25,0.4225238095238095,0.36,bag,Bongo-Bagirmi,Bagirmi
bmr,7,1,1,mui,Boran,Muinane
bmu,4,1,1,bmr,Finisterre-Huon,Burum
bnc,7,0.5714285714285714,0.5714285714285714,btk,Northern Luzon,Bontok
bng,1,1,1,bga,Bantoid,Benga
bni,2,1,1,bob,Bantoid,Bobangi
boa,1,1,1,bor,Boran,Bora
bod,3.6,0.6751020408163265,0.6409523809523809,jad,Bodic,Jad
boi,10,0.8125,0.8,cba,Chumash,Chumash (Barbareño)
bol,1,1,1,blq,West Chadic,Bole
bom,11,0.38636363636363635,0.36363636363636365,bir,Platoid,Birom
bor,11,0.8571428571428571,0.8181818181818182,brr,Bororoan,Bororo
bos,15,0.44166666666666665,0.4380952380952381,bos,Slavic,Bosnian
bot,7,0.5714285714285714,0.5714285714285714,bgo,Bongo-Bagirmi,Bongo
boz,1,0.6666666666666666,0.6,boz,Western Mande,Bozo (Tigemaxo)
bpu,3,0.5833333333333334,0.5555555555555556,bon,Madang,Bongu
bqp,3,0.33333333333333337,0.33333333333333337,bus,Eastern Mande,Busa
bre,11,0.6363636363636364,0.6363636363636364,bre,Celtic,Breton
brg,9,0.5555555555555556,0.5555555555555556,baq,Bolivia-Parana,Baure
brh,24,0.7459325396825397,0.7083333333333333,brh,Northern Dravidian,Brahui
bri,4,1,1,bku,Bantoid,Bakueri
brm,7,0.7142857142857143,0.7142857142857143,bbu,Ubangi,Barambu
brx,7,0.7142857142857143,0.7142857142857143,bod,Bodo-Garo,Bodo
bsc,1,1,1,bsr,Tenda,Basari
bsh,1,0,0,ktz,Nuristani,Kati (in Afghanistan)
bsk,24,0.7835813492063493,0.7544642857142857,bur,NA,Burushaski
bsn,26,0.5748168498168498,0.5311355311355311,brs,Tucanoan,Barasano
bsw,1,0.4,0.25,bys,Lowland East Cushitic,Bayso
btx,20,0.48708333333333337,0.4416666666666666,bkr,Northwest Sumatra-Barrier Islands,Batak (Karo)
bud,3,1,1,ncm,Northern-Central Gur,Ncàm
buf,6,0.8333333333333334,0.8333333333333334,bsh,Bantoid,Bushoong
bug,1,0,0,bug,South Sulawesi,Bugis
buh,6,0,0,pnu,Hmong-Mien,Bunu (Younuo)
bul,16,0.4765625,0.45833333333333337,bul,Slavic,Bulgarian
bum,2,0.5,0.5,buw,Bantoid,Bulu
